id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	268	186	38	268	82	38
2	0	129	182	435	157	20	306	149	73
3	0	291	354	725	319	7	434	115	70
4	0	441	501	903	193	15	462	269	75
6	0	944	949	1247	125	4	303	178	9
5	0	943	943	1299	150	23	356	206	23
7	0	1000	1102	1599	131	26	599	468	128
11	0	1768	2102	2195	93	0	427	334	334
10	0	1453	1802	2410	47	13	957	910	362
8	0	1218	1321	2585	530	45	1367	837	148
14	0	2348	2616	2690	74	0	342	268	268
9	0	1390	1599	3041	537	6	1651	1114	215
18	0	2799	3086	3112	26	0	313	287	287
12	0	1880	2410	3133	229	23	1253	1024	553
17	0	2652	2850	3372	150	12	720	570	210
15	0	2528	2743	3553	250	43	1025	775	258
13	0	2154	2585	3832	176	18	1678	1502	449
19	0	2915	3270	3838	75	16	923	848	371
20	0	3118	3553	4056	319	18	938	619	453
16	0	2587	2819	4142	124	52	1555	1431	284
22	0	3378	3843	4220	67	4	842	775	469
25	0	3899	4220	4226	6	0	327	321	321
24	0	3819	3895	4441	178	28	622	444	104
21	0	3360	3838	4456	60	51	1096	1036	529
23	0	3597	3872	4479	189	33	882	693	308
0	0	0	0	4479	88	0	4479	4391	0
