id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	72	0	0	268	186	38	268	82	38
2	54	129	182	435	157	20	306	149	73
3	47	291	354	725	319	7	434	115	70
4	31	441	501	903	193	15	462	269	75
6	30	944	949	1247	125	4	303	178	9
10	19	1453	1700	1769	47	13	316	269	260
11	0	1768	1769	1862	93	0	94	1	1
7	31	1000	1010	1890	131	26	890	759	36
5	47	943	943	2098	150	23	1155	1005	23
14	0	2348	2388	2462	74	0	114	40	40
12	65	1880	1890	2512	229	23	632	403	33
13	64	2154	2357	2654	176	18	500	324	221
18	0	2799	2802	2828	26	0	29	3	3
17	58	2652	2654	2911	150	12	259	109	14
16	10	2587	2642	2997	124	52	410	286	107
15	28	2528	2618	3247	250	43	719	469	133
22	14	3378	3516	3623	67	4	245	178	142
21	21	3360	3511	3661	60	51	301	241	202
19	34	2915	2997	3667	75	16	752	677	98
25	0	3899	4034	4040	6	0	141	135	135
24	53	3819	3928	4255	178	28	436	258	137
23	77	3597	3623	4278	189	33	681	492	59
20	132	3118	3247	4333	319	18	1215	896	147
8	193	1218	1247	4405	530	45	3187	2657	74
9	103	1390	1497	4479	537	6	3089	2552	113
0	0	0	0	4479	88	0	4479	4391	0
