id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	301	186	38	301	115	38
2	0	129	138	498	157	20	369	212	29
4	0	441	454	857	193	15	416	223	28
3	0	291	301	893	319	7	602	283	17
6	0	944	949	1287	125	4	343	218	9
5	0	943	943	1391	150	23	448	298	23
7	0	1000	1019	1439	131	26	439	308	45
10	0	1453	1469	1606	47	13	153	106	29
11	0	1768	1786	2092	93	0	324	231	18
14	0	2348	2383	2798	74	0	450	376	35
18	0	2799	2860	3024	26	0	225	199	61
12	0	1880	1906	3085	229	23	1205	976	49
13	0	2154	2182	3222	176	18	1068	892	46
8	0	1218	1232	3334	530	45	2116	1586	59
19	0	2915	2978	3481	75	16	566	491	79
16	0	2587	2638	3636	124	52	1049	925	103
17	0	2652	2704	3759	150	12	1107	957	64
22	0	3378	3438	3830	67	4	452	385	64
21	0	3360	3413	3835	60	51	475	415	104
9	0	1390	1411	3859	537	6	2469	1932	27
25	0	3899	3929	3935	6	0	36	30	30
15	0	2528	2568	4156	250	43	1628	1378	83
23	0	3597	3656	4402	189	33	805	616	92
24	0	3819	3859	4454	178	28	635	457	68
20	0	3118	3172	4479	319	18	1361	1042	72
0	0	0	0	4479	88	0	4479	4391	0
