id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	14	129	129	647	157	20	518	361	20
4	18	441	441	790	193	15	349	156	15
1	19	0	0	809	186	38	809	623	38
3	28	291	291	890	319	7	599	280	7
6	9	944	944	1377	125	4	433	308	4
10	3	1453	1453	1513	47	13	60	13	13
7	10	1000	1000	1602	131	26	602	471	26
5	13	943	943	1690	150	23	747	597	23
11	9	1768	1768	1861	93	0	93	0	0
13	16	2154	2154	2348	176	18	194	18	18
14	7	2348	2348	2422	74	0	74	0	0
12	20	1880	1880	2425	229	23	545	316	23
18	2	2799	2799	2825	26	0	26	0	0
16	9	2587	2587	3000	124	52	413	289	52
19	6	2915	2915	3006	75	16	91	16	16
17	13	2652	2652	3086	150	12	434	284	12
22	4	3378	3378	3485	67	4	107	40	4
21	4	3360	3360	3511	60	51	151	91	51
15	21	2528	2528	3519	250	43	991	741	43
23	18	3597	3597	3819	189	33	222	33	33
25	0	3899	3899	3905	6	0	6	0	0
24	16	3819	3819	4031	178	28	212	34	28
20	29	3118	3118	4075	319	18	957	638	18
9	48	1390	1390	4460	537	6	3070	2533	6
8	48	1218	1218	4505	530	45	3287	2757	45
0	0	0	0	4505	114	0	4505	4391	0
