id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	268	186	38	268	82	38
2	0	129	182	435	157	20	306	149	73
3	0	291	354	725	319	7	434	115	70
4	0	441	501	903	193	15	462	269	75
6	0	944	949	1155	125	4	211	86	9
7	0	1000	1010	1297	131	26	297	166	36
5	0	943	943	1349	150	23	406	256	23
10	0	1453	1599	1849	47	13	396	349	159
11	0	1768	1849	1942	93	0	174	81	81
12	0	1880	1942	2438	229	23	558	329	85
14	0	2348	2491	2565	74	0	217	143	143
9	0	1390	1638	2665	537	6	1275	738	254
18	0	2799	2852	2878	26	0	79	53	53
13	0	2154	2305	2888	176	18	734	558	169
16	0	2587	2589	2974	124	52	387	263	54
19	0	2915	2974	3166	75	16	251	176	75
15	0	2528	2565	3347	250	43	819	569	80
17	0	2652	3043	3380	150	12	728	578	403
22	0	3378	3385	3492	67	4	114	47	11
21	0	3360	3380	3507	60	51	147	87	71
25	0	3899	4055	4061	6	0	162	156	156
8	0	1218	1349	4080	530	45	2862	2332	176
20	0	3118	3791	4135	319	18	1017	698	691
24	0	3819	4135	4456	178	28	637	459	344
23	0	3597	3768	4479	189	33	882	693	204
0	0	0	0	4479	88	0	4479	4391	0
