id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	3	0	0	27	27	0	27	0	0
3	7	38	38	144	60	11	106	46	11
2	11	30	30	307	102	129	277	175	129
4	2	332	332	361	14	15	29	15	15
6	1	462	462	481	17	2	19	2	2
5	4	434	434	516	51	14	82	31	14
7	0	541	541	542	1	0	1	0	0
8	2	567	567	578	11	0	11	0	0
9	1	880	880	891	11	0	11	0	0
10	1	900	900	931	18	13	31	13	13
11	0	965	965	970	5	0	5	0	0
12	7	983	983	1117	75	59	134	59	59
13	1	1182	1182	1236	15	39	54	39	39
14	1	1329	1329	1342	13	0	13	0	0
15	10	1834	1834	1970	99	37	136	37	37
16	2	2021	2021	2062	32	9	41	9	9
18	0	2561	2561	2570	7	2	9	2	2
17	6	2437	2437	2574	74	56	137	63	56
19	0	2685	2685	2688	3	0	3	0	0
20	1	2699	2699	2741	23	19	42	19	19
21	0	3320	3320	3335	10	5	15	5	5
22	2	3463	3463	3531	19	49	68	49	49
23	0	3621	3621	3624	3	0	3	0	0
24	1	3779	3779	3837	23	35	58	35	35
25	3	3850	3850	3887	37	0	37	0	0
0	0	0	0	3887	3137	0	3887	750	0
