id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	27	27	0	27	0	0
3	0	38	84	155	60	11	117	57	57
2	0	30	30	261	102	129	231	129	129
4	0	332	332	361	14	15	29	15	15
6	0	462	471	490	17	2	28	11	11
5	0	434	434	504	51	14	70	19	14
7	0	541	541	542	1	0	1	0	0
8	0	567	567	578	11	0	11	0	0
9	0	880	880	891	11	0	11	0	0
10	0	900	900	931	18	13	31	13	13
11	0	965	965	970	5	0	5	0	0
12	0	983	983	1117	75	59	134	59	59
13	0	1182	1182	1236	15	39	54	39	39
14	0	1329	1329	1342	13	0	13	0	0
15	0	1834	1834	1970	99	37	136	37	37
16	0	2021	2021	2062	32	9	41	9	9
17	0	2437	2437	2567	74	56	130	56	56
18	0	2561	2567	2576	7	2	15	8	8
19	0	2685	2685	2688	3	0	3	0	0
20	0	2699	2699	2741	23	19	42	19	19
21	0	3320	3320	3335	10	5	15	5	5
22	0	3463	3463	3531	19	49	68	49	49
23	0	3621	3621	3624	3	0	3	0	0
24	0	3779	3779	3837	23	35	58	35	35
25	0	3850	3850	3887	37	0	37	0	0
0	0	0	0	3887	3137	0	3887	750	0
