id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	91	91	0	91	0	0
3	0	92	107	246	139	0	154	15	15
2	0	39	91	266	36	14	227	191	66
4	0	431	431	462	31	0	31	0	0
5	0	540	540	622	76	6	82	6	6
6	0	708	708	871	156	7	163	7	7
7	0	841	871	990	35	2	149	114	32
8	0	882	884	1037	122	7	155	33	9
9	0	896	990	1039	11	1	143	132	95
10	0	1002	1039	1166	126	1	164	38	38
12	0	1263	1263	1487	63	15	224	161	15
13	0	1298	1412	1827	180	3	529	349	117
11	0	1133	1166	2023	541	61	890	349	94
15	0	1824	1829	2099	100	48	275	175	53
14	0	1689	1827	2104	12	18	415	403	156
16	0	1871	2028	2293	215	12	422	207	169
17	0	1887	2054	2429	143	11	542	399	178
18	0	2656	2656	2728	72	0	72	0	0
19	0	2815	2815	2879	37	27	64	27	27
20	0	2880	2880	3346	138	45	466	328	45
23	0	3150	3384	3398	14	0	248	234	234
21	0	2980	2980	3505	412	26	525	113	26
22	0	3128	3346	3582	72	12	454	382	230
25	0	3410	3582	3691	85	20	281	196	192
24	0	3374	3505	3843	206	26	469	263	157
0	0	0	0	3843	730	0	3843	3113	0
