id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	91	91	0	91	0	0
3	0	92	107	246	139	0	154	15	15
2	0	39	91	266	36	14	227	191	66
4	0	431	431	462	31	0	31	0	0
5	0	540	540	622	76	6	82	6	6
6	0	708	708	871	156	7	163	7	7
7	0	841	871	999	35	2	158	123	32
9	0	896	968	1001	11	1	105	94	73
8	0	882	884	1039	122	7	157	35	9
10	0	1002	1039	1166	126	1	164	38	38
12	0	1263	1263	1394	63	15	131	68	15
13	0	1298	1319	1618	180	3	320	140	24
14	0	1689	1871	1919	12	18	230	218	200
15	0	1824	1919	2130	100	48	306	206	143
17	0	1887	1904	2152	143	11	265	122	28
11	0	1133	1166	2281	541	61	1148	607	94
16	0	1871	1873	2470	215	12	599	384	14
18	0	2656	2656	2728	72	0	72	0	0
19	0	2815	2815	2879	37	27	64	27	27
23	0	3150	3285	3299	14	0	149	135	135
20	0	2880	2880	3398	138	45	518	380	45
22	0	3128	3299	3432	72	12	304	232	183
25	0	3410	3475	3584	85	20	174	89	85
21	0	2980	2980	3691	412	26	711	299	26
24	0	3374	3432	3843	206	26	469	263	84
0	0	0	0	3843	730	0	3843	3113	0
