id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	3	39	39	89	36	14	50	14	14
1	8	0	0	197	91	0	197	106	0
3	15	92	92	266	139	0	174	35	0
4	4	431	431	462	31	0	31	0	0
5	7	540	540	622	76	6	82	6	6
7	3	841	841	878	35	2	37	2	2
9	0	896	896	908	11	1	12	1	1
8	9	882	882	1094	122	7	212	90	7
12	6	1263	1263	1401	63	15	138	75	15
10	12	1002	1002	1445	126	1	443	317	1
6	15	708	708	1532	156	7	824	668	7
13	18	1298	1298	1603	180	3	305	125	3
14	0	1689	1689	1719	12	18	30	18	18
15	8	1824	1824	2120	100	48	296	196	48
17	12	1887	1887	2214	143	11	327	184	11
16	20	1871	1871	2282	215	12	411	196	12
11	52	1133	1133	2473	541	61	1340	799	61
18	7	2656	2656	2728	72	0	72	0	0
19	2	2815	2815	2879	37	27	64	27	27
23	1	3150	3150	3164	14	0	14	0	0
22	7	3128	3128	3226	72	12	98	26	12
20	12	2880	2880	3255	138	45	375	237	45
25	7	3410	3410	3572	85	20	162	77	20
24	17	3374	3374	3684	206	26	310	104	26
21	38	2980	2980	3856	412	26	876	464	26
0	0	0	0	3856	743	0	3856	3113	0
