id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	91	91	0	91	0	0
3	0	92	107	246	139	0	154	15	15
2	8	39	91	266	36	14	227	191	66
4	0	431	431	462	31	0	31	0	0
5	17	540	540	622	76	6	82	6	6
6	21	708	708	871	156	7	163	7	7
7	6	841	871	999	35	2	158	123	32
9	4	896	968	1001	11	1	105	94	73
8	42	882	884	1039	122	7	157	35	9
10	21	1002	1039	1166	126	1	164	38	38
12	28	1263	1263	1394	63	15	131	68	15
13	71	1298	1319	1599	180	3	301	121	24
16	13	1871	1942	2172	215	12	301	86	83
14	3	1689	1875	2177	12	18	488	476	204
15	32	1824	1877	2323	100	48	499	399	101
17	58	1887	1968	2345	143	11	458	315	92
11	126	1133	1166	2474	541	61	1341	800	94
18	0	2656	2656	2728	72	0	72	0	0
19	3	2815	2815	2879	37	27	64	27	27
23	0	3150	3323	3337	14	0	187	173	173
22	19	3128	3285	3371	72	12	243	171	169
20	22	2880	2880	3432	138	45	552	414	45
25	25	3410	3475	3584	85	20	174	89	85
21	152	2980	2980	3806	412	26	826	414	26
24	68	3374	3432	3830	206	26	456	250	84
0	0	0	0	3830	717	0	3830	3113	0
