id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	39	40	126	36	14	87	51	15
1	0	0	0	147	91	0	147	56	0
3	0	92	106	266	139	0	174	35	14
4	0	431	431	462	31	0	31	0	0
5	0	540	540	622	76	6	82	6	6
6	0	708	708	894	156	7	186	30	7
7	0	841	848	935	35	2	94	59	9
9	0	896	914	937	11	1	41	30	19
8	0	882	894	1080	122	7	198	76	19
10	0	1002	1002	1207	126	1	205	79	1
12	0	1263	1263	1436	63	15	173	110	15
13	0	1298	1313	1658	180	3	360	180	18
14	0	1689	1698	1740	12	18	51	39	27
15	0	1824	1830	2205	100	48	381	281	54
11	0	1133	1133	2284	541	61	1151	610	61
17	0	1887	1909	2367	143	11	480	337	33
16	0	1871	1889	2426	215	12	555	340	30
18	0	2656	2656	2728	72	0	72	0	0
19	0	2815	2815	2879	37	27	64	27	27
20	0	2880	2880	3131	138	45	251	113	45
23	0	3150	3161	3195	14	0	45	31	11
22	0	3128	3131	3297	72	12	169	97	15
25	0	3410	3427	3676	85	20	266	181	37
21	0	2980	2980	3793	412	26	813	401	26
24	0	3374	3377	3845	206	26	471	265	29
0	0	0	0	3845	732	0	3845	3113	0
