id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	185	133	52	185	52	52
2	0	69	185	281	96	0	212	116	116
3	0	77	281	570	269	12	493	224	216
4	0	374	527	745	195	14	371	176	167
5	0	1008	1008	1078	70	0	70	0	0
8	0	1654	1853	1860	7	0	206	199	199
7	0	1596	1845	1863	11	3	267	256	252
6	0	1572	1572	1985	395	14	413	18	14
9	0	1871	1985	2044	59	0	173	114	114
10	0	1902	2044	2299	247	8	397	150	150
12	0	2506	2598	2640	42	0	134	92	92
11	0	2468	2468	2785	275	1	317	42	1
13	0	2889	2889	2937	48	0	48	0	0
14	0	2932	2937	2971	34	0	39	5	5
15	0	3053	3053	3071	18	0	18	0	0
19	0	3208	3257	3281	24	0	73	49	49
17	0	3164	3164	3372	121	18	208	87	18
18	0	3169	3227	3684	297	5	515	218	63
20	0	3540	3718	3734	16	0	194	178	178
22	0	3786	4033	4079	46	0	293	247	247
23	0	3833	4079	4175	96	0	342	246	246
24	0	3923	4175	4247	72	0	324	252	252
21	0	3616	3734	4675	707	14	1059	352	132
16	0	3140	3140	4760	238	52	1620	1382	52
25	0	4278	4760	5011	201	50	733	532	532
0	0	0	0	5011	1294	0	5011	3717	0
