id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	69	75	351	96	0	282	186	6
1	0	0	0	381	133	52	381	248	52
3	0	77	95	720	269	12	643	374	30
4	0	374	391	745	195	14	371	176	31
5	0	1008	1008	1078	70	0	70	0	0
7	0	1596	1602	1623	11	3	27	16	9
8	0	1654	1663	1670	7	0	16	9	9
9	0	1871	1871	2005	59	0	134	75	0
6	0	1572	1572	2157	395	14	585	190	14
10	0	1902	1921	2299	247	8	397	150	27
12	0	2506	2508	2590	42	0	84	42	2
11	0	2468	2468	2786	275	1	318	43	1
13	0	2889	2889	2937	48	0	48	0	0
14	0	2932	2937	2971	34	0	39	5	5
15	0	3053	3053	3071	18	0	18	0	0
19	0	3208	3234	3301	24	0	93	69	26
17	0	3164	3164	3537	121	18	373	252	18
20	0	3540	3551	3587	16	0	47	31	11
16	0	3140	3140	3932	238	52	792	554	52
22	0	3786	3807	3998	46	0	212	166	21
18	0	3169	3184	4125	297	5	956	659	20
24	0	3923	3962	4217	72	0	294	222	39
23	0	3833	3867	4223	96	0	390	294	34
25	0	4278	4283	4737	201	50	459	258	55
21	0	3616	3617	4975	707	14	1359	652	15
0	0	0	0	4975	1258	0	4975	3717	0
