id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	185	133	52	185	52	52
2	0	69	185	281	96	0	212	116	116
3	123	77	281	570	269	12	493	224	216
4	10	374	527	745	195	14	371	176	167
5	0	1008	1008	1078	70	0	70	0	0
8	0	1654	1853	1860	7	0	206	199	199
7	4	1596	1845	1863	11	3	267	256	252
6	136	1572	1572	1985	395	14	413	18	14
9	0	1871	1985	2044	59	0	173	114	114
10	2	1902	2044	2299	247	8	397	150	150
12	0	2506	2598	2640	42	0	134	92	92
11	65	2468	2468	2785	275	1	317	42	1
13	0	2889	2889	2937	48	0	48	0	0
14	0	2932	2937	2971	34	0	39	5	5
15	0	3053	3053	3071	18	0	18	0	0
19	0	3208	3224	3248	24	0	40	16	16
17	15	3164	3164	3372	121	18	208	87	18
18	15	3169	3194	3639	297	5	470	173	30
20	0	3540	3639	3655	16	0	115	99	99
22	0	3786	3934	3980	46	0	194	148	148
23	0	3833	3980	4076	96	0	243	147	147
24	0	3923	4076	4148	72	0	225	153	153
21	139	3616	3655	4621	707	14	1005	298	53
16	26	3140	3140	4831	238	52	1691	1453	52
25	12	4278	4621	4971	201	50	693	492	393
0	0	0	0	4971	1254	0	4971	3717	0
