id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	2	0	0	44	22	22	44	22	22
4	0	82	82	85	3	0	3	0	0
3	6	69	69	179	33	45	110	77	45
2	8	46	46	204	55	75	158	103	75
5	7	526	526	589	63	0	63	0	0
6	1	780	780	796	7	9	16	9	9
7	0	800	800	808	8	0	8	0	0
8	0	901	901	908	7	0	7	0	0
9	6	1090	1090	1196	70	36	106	36	36
13	2	1294	1294	1390	21	65	96	75	65
11	2	1229	1229	1418	33	27	189	156	27
12	1	1271	1271	1428	29	84	157	128	84
14	4	1303	1303	1475	47	0	172	125	0
10	5	1215	1215	1508	76	42	293	217	42
15	6	1335	1335	1520	70	66	185	115	66
16	1	1627	1627	1645	12	6	18	6	6
17	0	1753	1753	1806	20	33	53	33	33
19	2	1936	1936	1995	37	5	59	22	5
20	1	1954	1954	2007	20	33	53	33	33
18	2	1921	1921	2038	38	79	117	79	79
22	0	2392	2392	2394	2	0	2	0	0
21	0	2386	2386	2401	13	0	15	2	0
23	8	2541	2541	2652	90	21	111	21	21
25	2	2744	2744	2831	32	55	87	55	55
24	5	2728	2728	2832	57	18	104	47	18
0	0	0	0	2832	1967	0	2832	865	0
