id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	2	0	0	12	12	0	12	0	0
2	0	433	433	435	2	0	2	0	0
3	5	465	465	522	35	22	57	22	22
4	3	613	613	662	29	0	49	20	0
5	8	640	640	799	90	67	159	69	67
7	1	992	992	1013	14	0	21	7	0
6	3	926	926	1020	40	41	94	54	41
11	5	1200	1200	1327	70	17	127	57	17
10	6	1185	1185	1336	66	51	151	85	51
9	7	1149	1149	1354	67	3	205	138	3
8	9	1001	1001	1369	100	72	368	268	72
12	0	1379	1379	1381	2	0	2	0	0
13	0	1614	1614	1636	13	9	22	9	9
14	0	1792	1792	1795	3	0	3	0	0
15	0	1954	1954	1989	18	17	35	17	17
17	1	2038	2038	2072	14	10	34	20	10
16	2	2035	2035	2101	50	2	66	16	2
18	2	2206	2206	2233	27	0	27	0	0
19	2	2389	2389	2448	35	24	59	24	24
21	1	2829	2829	2851	12	0	22	10	0
20	3	2821	2821	2884	44	7	63	19	7
22	0	2960	2960	2961	1	0	1	0	0
23	0	3089	3089	3134	14	31	45	31	31
24	5	3170	3170	3272	60	42	102	42	42
26	0	3406	3406	3412	6	0	6	0	0
25	5	3380	3380	3475	64	31	95	31	31
28	0	3555	3555	3579	14	10	24	10	10
27	11	3497	3497	3649	135	9	152	17	9
29	1	3691	3691	3743	36	6	52	16	6
30	3	3723	3723	3767	34	0	44	10	0
0	0	0	0	3767	2660	0	3767	1107	0
