id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	54	54	304	113	0	250	137	0
3	0	68	74	322	101	10	254	153	16
4	0	150	167	324	56	1	174	118	18
5	0	345	345	524	179	0	179	0	0
6	0	711	711	771	55	5	60	5	5
9	0	942	955	1238	83	7	296	213	20
11	0	1408	1428	1502	22	0	94	72	20
10	0	1080	1105	1551	131	2	471	340	27
7	0	821	821	1560	292	1	739	447	1
8	0	896	905	1612	238	14	716	478	23
13	0	1704	1706	1730	14	0	26	12	2
12	0	1593	1593	1971	339	16	378	39	16
14	0	2096	2096	2252	152	4	156	4	4
16	0	2451	2451	2550	39	27	99	60	27
15	0	2391	2391	2573	143	0	182	39	0
17	0	2699	2699	2906	117	9	207	90	9
18	0	2723	2729	2991	135	8	268	133	14
21	0	3293	3311	3349	18	0	56	38	18
20	0	3089	3091	3695	234	13	606	372	15
19	0	2907	2916	3946	433	44	1039	606	53
22	0	3485	3500	3952	98	22	467	369	37
25	0	3797	3832	4040	58	0	243	185	35
23	0	3502	3522	4054	141	6	552	411	26
24	0	3536	3572	4232	289	13	696	407	49
0	0	0	0	4232	746	0	4232	3486	0
