id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	54	54	167	113	0	113	0	0
3	0	68	167	302	101	10	234	133	109
4	0	150	200	324	56	1	174	118	51
5	0	345	345	524	179	0	179	0	0
6	0	711	711	771	55	5	60	5	5
7	0	821	821	1114	292	1	293	1	1
9	0	942	1114	1309	83	7	367	284	179
10	0	1080	1183	1328	131	2	248	117	105
11	0	1408	1547	1569	22	0	161	139	139
8	0	896	1328	1588	238	14	692	454	446
13	0	1704	1856	1870	14	0	166	152	152
12	0	1593	1593	1951	339	16	358	19	16
14	0	2096	2096	2252	152	4	156	4	4
15	0	2391	2391	2534	143	0	143	0	0
16	0	2451	2534	2600	39	27	149	110	110
17	0	2699	2699	2924	117	9	225	108	9
18	0	2723	2749	2951	135	8	228	93	34
21	0	3293	3302	3320	18	0	27	9	9
20	0	3089	3141	3393	234	13	304	70	65
19	0	2907	2951	3706	433	44	799	366	88
23	0	3502	3604	3779	141	6	277	136	108
22	0	3485	3602	3875	98	22	390	292	139
25	0	3797	3875	3933	58	0	136	78	78
24	0	3536	3933	4235	289	13	699	410	410
0	0	0	0	4235	749	0	4235	3486	0
