id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	6	6	0	6	0	0
2	0	54	54	167	113	0	113	0	0
3	0	68	167	302	101	10	234	133	109
4	0	150	200	324	56	1	174	118	51
5	0	345	345	524	179	0	179	0	0
6	0	711	711	771	55	5	60	5	5
7	0	821	821	1114	292	1	293	1	1
8	0	896	1114	1533	238	14	637	399	232
11	0	1408	1533	1555	22	0	147	125	125
9	0	942	1333	1569	83	7	627	544	398
10	0	1080	1402	1588	131	2	508	377	324
13	0	1704	1856	1870	14	0	166	152	152
12	0	1593	1593	1951	339	16	358	19	16
14	0	2096	2096	2252	152	4	156	4	4
15	0	2391	2391	2534	143	0	143	0	0
16	0	2451	2534	2600	39	27	149	110	110
17	0	2699	2699	2924	117	9	225	108	9
18	0	2723	2749	2951	135	8	228	93	34
21	0	3293	3511	3529	18	0	236	218	218
20	0	3089	3141	3602	234	13	513	279	65
19	0	2907	2951	3827	433	44	920	487	88
22	0	3485	3602	3923	98	22	438	340	139
23	0	3502	3604	3996	141	6	494	353	108
25	0	3797	3996	4054	58	0	257	199	199
24	0	3536	3672	4223	289	13	687	398	149
0	0	0	0	4223	737	0	4223	3486	0
