id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	6	6	0	6	0	0
4	6	150	150	217	56	1	67	11	1
2	11	54	54	316	113	0	262	149	0
3	11	68	68	324	101	10	256	155	10
5	19	345	345	524	179	0	179	0	0
6	5	711	711	771	55	5	60	5	5
9	8	942	942	1194	83	7	252	169	7
10	12	1080	1080	1297	131	2	217	86	2
11	2	1408	1408	1430	22	0	22	0	0
8	22	896	896	1524	238	14	628	390	14
7	29	821	821	1588	292	1	767	475	1
13	1	1704	1704	1718	14	0	14	0	0
12	32	1593	1593	1962	339	16	369	30	16
14	16	2096	2096	2252	152	4	156	4	4
16	3	2451	2451	2517	39	27	66	27	27
15	12	2391	2391	2573	143	0	182	39	0
17	10	2699	2699	3015	117	9	316	199	9
18	13	2723	2723	3089	135	8	366	231	8
21	0	3293	3293	3311	18	0	18	0	0
20	23	3089	3089	3453	234	13	364	130	13
22	8	3485	3485	3776	98	22	291	193	22
25	5	3797	3797	3855	58	0	58	0	0
23	13	3502	3502	3917	141	6	415	274	6
24	30	3536	3536	4119	289	13	583	294	13
19	40	2907	2907	4262	433	44	1355	922	44
0	0	0	0	4262	776	0	4262	3486	0
