id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	3	0	0	69	28	41	69	41	41
2	2	88	88	119	27	4	31	4	4
4	0	190	190	243	16	37	53	37	37
3	4	187	187	284	34	46	97	63	46
7	3	375	375	386	11	0	11	0	0
6	8	303	303	388	45	29	85	40	29
5	2	252	252	397	13	122	145	132	122
8	7	541	541	605	56	8	64	8	8
9	1	845	845	859	14	0	14	0	0
10	7	1335	1335	1440	48	57	105	57	57
11	3	1475	1475	1505	30	0	30	0	0
12	2	1584	1584	1674	34	56	90	56	56
14	0	1806	1806	1807	1	0	1	0	0
13	3	1760	1760	1873	34	79	113	79	79
15	0	1887	1887	1962	12	53	75	63	53
17	1	1945	1945	1966	15	1	21	6	1
16	2	1932	1932	1970	18	0	38	20	0
18	3	2171	2171	2232	42	19	61	19	19
19	0	2517	2517	2589	21	41	72	51	41
22	2	2619	2619	2692	33	0	73	40	0
24	0	2751	2751	2755	4	0	4	0	0
23	1	2665	2665	2776	29	82	111	82	82
20	8	2540	2540	2814	106	62	274	168	62
25	0	2819	2819	2864	7	38	45	38	38
21	9	2554	2554	2922	128	117	368	240	117
0	0	0	0	2922	2116	0	2922	806	0
