id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	69	28	41	69	41	41
2	0	88	88	119	27	4	31	4	4
4	0	190	194	247	16	37	57	41	41
3	0	187	187	283	34	46	96	62	46
6	0	303	303	377	45	29	74	29	29
7	0	375	377	388	11	0	13	2	2
5	0	252	261	406	13	122	154	141	131
8	0	541	541	605	56	8	64	8	8
9	0	845	845	859	14	0	14	0	0
10	0	1335	1335	1440	48	57	105	57	57
11	0	1475	1475	1505	30	0	30	0	0
12	0	1584	1584	1674	34	56	90	56	56
14	0	1806	1806	1807	1	0	1	0	0
13	0	1760	1760	1873	34	79	113	79	79
16	0	1932	1932	1950	18	0	18	0	0
15	0	1887	1887	1956	12	53	69	57	53
17	0	1945	1950	1970	15	1	25	10	6
18	0	2171	2171	2232	42	19	61	19	19
19	0	2517	2517	2603	21	41	86	65	41
22	0	2619	2624	2697	33	0	78	45	5
24	0	2751	2761	2765	4	0	14	10	10
23	0	2665	2684	2843	29	82	178	149	101
20	0	2540	2540	2846	106	62	306	200	62
25	0	2819	2832	2878	7	38	59	52	51
21	0	2554	2554	2909	128	117	355	227	117
0	0	0	0	2909	2103	0	2909	806	0
