id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	9	0	0	69	28	41	69	41	41
2	4	88	88	119	27	4	31	4	4
4	5	190	194	247	16	37	57	41	41
3	4	187	187	272	34	46	85	51	46
6	4	303	303	377	45	29	74	29	29
7	0	375	377	388	11	0	13	2	2
5	5	252	272	407	13	122	155	142	142
8	26	541	541	605	56	8	64	8	8
9	0	845	845	859	14	0	14	0	0
10	3	1335	1335	1440	48	57	105	57	57
11	0	1475	1475	1505	30	0	30	0	0
12	5	1584	1584	1674	34	56	90	56	56
14	0	1806	1806	1807	1	0	1	0	0
13	16	1760	1760	1873	34	79	113	79	79
16	0	1932	1932	1950	18	0	18	0	0
15	3	1887	1887	1956	12	53	69	57	53
17	0	1945	1950	1970	15	1	25	10	6
18	8	2171	2171	2232	42	19	61	19	19
19	1	2517	2517	2604	21	41	87	66	41
22	0	2619	2683	2716	33	0	97	64	64
24	0	2751	2761	2765	4	0	14	10	10
20	40	2540	2540	2788	106	62	248	142	62
23	6	2665	2716	2832	29	82	167	138	133
21	15	2554	2554	2893	128	117	339	211	117
25	2	2819	2821	2895	7	38	76	69	40
0	0	0	0	2895	2089	0	2895	806	0
