id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	76	84	129	25	6	53	28	14
1	0	0	0	207	159	3	207	48	3
3	0	167	169	522	328	7	355	27	9
4	0	656	656	851	94	12	195	101	12
5	0	681	686	907	67	52	226	159	57
6	0	696	706	1064	211	36	368	157	46
7	0	1080	1080	1152	68	4	72	4	4
8	0	1285	1285	1297	12	0	12	0	0
11	0	1942	1961	2046	24	23	104	80	42
10	0	1786	1791	2067	122	3	281	159	8
9	0	1531	1531	2385	551	9	854	303	9
12	0	2085	2087	3239	492	5	1154	662	7
17	0	3388	3419	3474	15	0	86	71	31
15	0	3302	3319	3623	75	0	321	246	17
16	0	3312	3339	3635	72	0	323	251	27
13	0	2376	2385	3717	492	0	1341	849	9
18	0	3572	3608	3930	102	33	358	256	69
19	0	3701	3717	4100	150	47	399	249	63
14	0	2735	2750	4274	575	103	1539	964	118
21	0	4333	4334	4630	116	10	297	181	11
24	0	4858	4885	4997	38	0	139	101	27
25	0	5008	5037	5269	56	35	261	205	64
22	0	4429	4441	5439	311	15	1010	699	27
23	0	4576	4601	5544	303	39	968	665	64
20	0	4314	4314	5602	458	41	1288	830	41
0	0	0	0	5602	686	0	5602	4916	0
