id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	76	76	107	25	6	31	6	6
1	17	0	0	352	159	3	352	193	3
3	33	167	167	515	328	7	348	20	7
5	5	681	681	830	67	52	149	82	52
4	7	656	656	909	94	12	253	159	12
6	20	696	696	1064	211	36	368	157	36
7	5	1080	1080	1152	68	4	72	4	4
8	1	1285	1285	1297	12	0	12	0	0
10	12	1786	1786	1911	122	3	125	3	3
11	1	1942	1942	1989	24	23	47	23	23
17	1	3388	3388	3403	15	0	15	0	0
15	5	3302	3302	3452	75	0	150	75	0
16	7	3312	3312	3464	72	0	152	80	0
18	8	3572	3572	3787	102	33	215	113	33
19	14	3701	3701	3904	150	47	203	53	47
12	45	2085	2085	3981	492	5	1896	1404	5
13	49	2376	2376	4134	492	0	1758	1266	0
9	50	1531	1531	4143	551	9	2612	2061	9
14	54	2735	2735	4274	575	103	1539	964	103
21	10	4333	4333	4783	116	10	450	334	10
24	3	4858	4858	4896	38	0	38	0	0
25	6	5008	5008	5099	56	35	91	35	35
23	27	4576	4576	5426	303	39	850	547	39
22	29	4429	4429	5484	311	15	1055	744	15
20	41	4314	4314	5602	458	41	1288	830	41
0	0	0	0	5602	686	0	5602	4916	0
