id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	162	159	3	162	3	3
2	0	76	162	302	25	6	226	201	92
3	0	167	181	516	328	7	349	21	21
4	0	656	656	771	94	12	115	21	12
5	0	681	740	988	67	52	307	240	111
6	0	696	771	1028	211	36	332	121	111
7	0	1080	1080	1152	68	4	72	4	4
8	0	1285	1285	1297	12	0	12	0	0
9	0	1531	1531	2094	551	9	563	12	9
11	0	1942	2070	2204	24	23	262	238	151
10	0	1786	2094	2235	122	3	449	327	311
13	0	2376	2500	2992	492	0	616	124	124
12	0	2085	2235	3291	492	5	1206	714	155
17	0	3388	3455	3470	15	0	82	67	67
16	0	3312	3470	3542	72	0	230	158	158
15	0	3302	3542	3617	75	0	315	240	240
18	0	3572	3617	3830	102	33	258	156	78
19	0	3701	3830	4152	150	47	451	301	176
14	0	2735	2992	4252	575	103	1517	942	360
21	0	4333	4508	4771	116	10	438	322	185
24	0	4858	4911	4949	38	0	91	53	53
23	0	4576	4796	5252	303	39	676	373	259
20	0	4314	4314	5303	458	41	989	531	41
25	0	5008	5114	5356	56	35	348	292	141
22	0	4429	4515	5596	311	15	1167	856	101
0	0	0	0	5596	680	0	5596	4916	0
