id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	162	159	3	162	3	3
2	0	76	162	302	25	6	226	201	92
3	0	167	181	516	328	7	349	21	21
4	0	656	656	942	94	12	286	192	12
5	0	681	740	988	67	52	307	240	111
6	0	696	761	1028	211	36	332	121	101
7	0	1080	1080	1152	68	4	72	4	4
8	0	1285	1285	1297	12	0	12	0	0
9	0	1531	1531	2185	551	9	654	103	9
10	0	1786	2070	2481	122	3	695	573	287
11	0	1942	2161	2500	24	23	558	534	242
13	0	2376	2500	2992	492	0	616	124	124
12	0	2085	2185	3219	492	5	1134	642	105
15	0	3302	3461	3536	75	0	234	159	159
16	0	3312	3536	3608	72	0	296	224	224
17	0	3388	3608	3623	15	0	235	220	220
18	0	3572	3734	4131	102	33	559	457	195
19	0	3701	3784	4158	150	47	457	307	130
14	0	2735	3219	4258	575	103	1523	948	587
21	0	4333	4508	4771	116	10	438	322	185
22	0	4429	4515	5125	311	15	696	385	101
24	0	4858	5150	5188	38	0	330	292	292
23	0	4576	4771	5381	303	39	805	502	234
25	0	5008	5242	5545	56	35	537	481	269
20	0	4314	4314	5596	458	41	1282	824	41
0	0	0	0	5596	680	0	5596	4916	0
