id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	5	0	0	162	159	3	162	3	3
2	9	76	162	302	25	6	226	201	92
3	57	167	181	516	328	7	349	21	21
5	10	681	740	978	67	52	297	230	111
4	42	656	656	988	94	12	332	238	12
6	85	696	761	1028	211	36	332	121	101
7	9	1080	1080	1152	68	4	72	4	4
8	0	1285	1285	1297	12	0	12	0	0
13	0	2376	2431	2923	492	0	547	55	55
11	2	1942	2161	3014	24	23	1072	1048	242
10	45	1786	2070	3209	122	3	1423	1301	287
15	0	3302	3320	3395	75	0	93	18	18
16	0	3312	3395	3467	72	0	155	83	83
17	0	3388	3467	3482	15	0	94	79	79
18	25	3572	3654	3879	102	33	307	205	115
19	61	3701	3704	3906	150	47	205	55	50
12	132	2085	2166	4133	492	5	2048	1556	86
9	250	1531	1531	4170	551	9	2639	2088	9
14	27	2735	2923	4241	575	103	1506	931	291
21	3	4333	4508	4809	116	10	476	360	185
22	35	4429	4515	5049	311	15	620	309	101
24	0	4858	5049	5087	38	0	229	191	191
25	1	5008	5087	5197	56	35	189	133	114
23	55	4576	4586	5332	303	39	756	453	49
20	69	4314	4314	5625	458	41	1311	853	41
0	0	0	0	5625	709	0	5625	4916	0
