id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	1	0	0	2	2	0	2	0	0
2	1	44	44	107	17	46	63	46	46
3	1	229	229	236	7	0	7	0	0
4	2	263	263	294	11	20	31	20	20
5	0	439	439	446	7	0	7	0	0
6	3	509	509	521	12	0	12	0	0
8	1	924	924	933	9	0	9	0	0
7	3	884	884	937	26	23	53	27	23
9	6	1220	1220	1281	51	5	61	10	5
10	0	1262	1262	1293	14	17	31	17	17
12	4	1352	1352	1404	28	24	52	24	24
11	8	1325	1325	1427	57	34	102	45	34
13	0	1909	1909	1917	8	0	8	0	0
14	0	1963	1963	1993	9	21	30	21	21
15	5	2257	2257	2354	47	8	97	50	8
16	5	2297	2297	2404	49	54	107	58	54
17	0	2452	2452	2462	10	0	10	0	0
18	5	2471	2471	2566	59	13	95	36	13
19	1	2507	2507	2587	28	52	80	52	52
21	0	2693	2693	2697	4	0	4	0	0
20	0	2633	2633	2706	10	63	73	63	63
22	1	2783	2783	2797	14	0	14	0	0
23	3	2827	2827	2861	34	0	34	0	0
24	0	2937	2937	3000	4	59	63	59	59
25	2	2966	2966	3007	26	12	41	15	12
0	0	0	0	3007	2464	0	3007	543	0
