id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	67	9	58	67	58	58
2	0	225	225	311	40	46	86	46	46
3	0	467	467	479	12	0	12	0	0
4	0	676	676	729	50	3	53	3	3
5	0	927	927	950	23	0	23	0	0
6	0	973	973	976	3	0	3	0	0
8	0	2001	2001	2064	6	9	63	57	9
7	0	1886	1886	2245	157	202	359	202	202
9	0	2380	2380	2491	12	99	111	99	99
10	0	2666	2666	2668	2	0	2	0	0
11	0	3012	3012	3020	8	0	8	0	0
12	0	3204	3204	3283	79	0	79	0	0
13	0	3252	3283	3508	20	205	256	236	236
14	0	3545	3545	3628	40	43	83	43	43
15	0	3579	3579	3638	16	43	59	43	43
16	0	3787	3787	3789	2	0	2	0	0
17	0	3838	3838	3842	4	0	4	0	0
18	0	3947	3947	3976	29	0	29	0	0
19	0	4045	4045	4057	12	0	12	0	0
20	0	4053	4057	4066	8	1	13	5	5
21	0	4093	4093	4095	2	0	2	0	0
22	0	4098	4098	4126	28	0	28	0	0
23	0	4106	4126	4228	21	81	122	101	101
24	0	4258	4258	4278	18	2	20	2	2
25	0	4365	4365	4434	15	54	69	54	54
0	0	0	0	4434	3818	0	4434	616	0
