id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	2	51	55	90	25	10	39	14	14
3	0	72	90	146	56	0	74	18	18
1	9	0	0	152	46	32	152	106	32
4	0	427	427	447	20	0	20	0	0
5	1	434	447	463	6	10	29	23	23
6	7	556	556	637	18	63	81	63	63
9	0	817	817	822	5	0	5	0	0
7	5	745	745	838	24	69	93	69	69
10	3	862	866	892	14	9	30	16	13
8	17	749	755	915	111	44	166	55	50
12	0	1255	1255	1294	39	0	39	0	0
11	10	1227	1227	1307	23	10	80	57	10
13	4	1271	1294	1319	21	2	48	27	25
14	0	1284	1303	1356	38	5	72	34	24
15	0	1362	1362	1373	11	0	11	0	0
16	0	1406	1406	1449	15	28	43	28	28
17	32	1484	1484	1577	81	12	93	12	12
18	0	1815	1815	1827	12	0	12	0	0
19	21	1976	1976	2029	49	4	53	4	4
20	7	2112	2112	2169	35	22	57	22	22
0	0	0	0	2169	1520	0	2169	649	0
